"Dataset","Group","GID","CGMS1","CGMS2","MCMDS","DM","PLTHT","BRNHT1","HI","logFYLD","logTOPYLD","logRTNO"
"IITAaugmented","nrTP","95D069:250300576",0.183862626518389,0.0641271522001476,0.220307606638347,1.16832424602725,-5.00459699087018,-1.159420303924,0.0545330470179236,0.194902561932279,-0.0535062475648742,0.206087676932431
"IITAaugmented","nrTP","95NA_00063:250300579",-0.165222004579194,-0.0272058785947482,-0.232318297490353,1.76613277127795,-0.857774249002248,6.67637715797547,0.0522744313551422,0.242323230640977,0.0281902581834854,0.152336646234021
"IITAaugmented","nrTP","96_1414:250254487",-0.147570496426011,-0.0820054232919888,-0.213705413613838,-0.29109347846289,2.49339091946894,-2.46775081781684,-0.0365056903126697,0.0741548088588077,0.170232782249904,0.0547734625216813
"IITAaugmented","nrTP","AGBELIFIA:250304616",-0.194073928957036,-0.023576333261101,-0.188766529727645,-1.30316481420526,-1.80660560282196,5.43465293360949,0.0442687763613158,0.0904131427612197,-0.0741901700094944,0.0781520830106434
"IITAaugmented","nrTP","ANKRA:250304548",0.0595050683673852,0.0418827928598486,0.377382300815522,1.56764556113911,7.73284748241484,6.09764871463989,-0.0525237886083753,-0.350057002779462,-0.229624489905205,-0.285657425767855
"IITAaugmented","nrTP","AR124:250107818",-0.320461147023457,-0.0906431649854843,-0.0371792467843304,1.73803481481071,5.30900945553317,13.4362577615492,-0.00546180120791011,-0.131793180004505,-0.0807404100579536,-0.181835616545411
"IITAaugmented","nrTP","AR1410:250399710",0.167957042949473,-0.00407794328184359,-0.0462565806557081,2.52691990945256,2.10805932177716,8.39658314582361,-0.0186914304467734,-0.197769468154463,-0.131425950925056,-0.0574685096763684
"IITAaugmented","nrTP","AR144:250107805",0.0977303457394944,0.0714247135803239,-0.079683437416184,-2.24443551805136,0.517441282866081,-6.03674677458618,0.00979753158032417,0.00913073693502655,-0.058541514489951,-0.0636113550490938
"IITAaugmented","nrTP","AR155:250134515",-0.289708572846228,-0.0940785453811777,0.0365642595112218,-1.29800403160192,-15.193907918247,-3.51615107715829,-0.0186615400060077,-0.107970214251972,-0.0613772086864564,-0.133455649129152
"IITAaugmented","nrTP","AR182:250134520",-0.0890663938115376,0.0441502923865604,0.462998499971301,0.531859370722461,11.5833004316919,14.2890643281781,-0.0270620755830271,-0.137522245248708,-0.0486341506860369,-0.204295409321348
"IITAaugmented","nrTP","AR311:250134529",-0.315819907439385,-0.0418458625529479,-0.0450664694827386,1.20816217584833,-11.5594400023664,6.8761149476669,-0.0232332874032658,-0.0479986077976476,0.0332861526574284,-0.0586486613027498
"IITAaugmented","nrTP","AR3913:250134481",0.15082796251127,0.0413453175807999,0.170575926394448,-3.17033028862278,-5.24581671073975,6.49896098353928,-0.0257945944505752,-0.137616148732577,-0.0456452691687139,-0.0445192986198257
"IITAaugmented","nrTP","AR945:250107873",-0.150644917891816,-0.0507069598278513,-0.0941157114389896,2.11032526617232,-3.76757136770257,1.6044137389309,0.0205452539105582,-0.0658996126713422,-0.0799034113937808,0.00609314014055663
"IITAaugmented","nrTP","AR95:250107813",-0.126991539939864,0.0577334442686275,-0.2210952478281,2.78523503172573,-5.58591801090632,8.20270602615911,0.0246961329705944,0.10095903655138,0.0221774009478027,0.0823403291031517
"IITAaugmented","nrTP","B9100455:250304511",-0.0873525889476411,-0.0626257411390192,-0.40007746697748,-0.821625624493116,1.46837626547229,-2.197802130376,-0.0422374786896504,0.229417099002372,0.334989188040628,0.184135447318524
"IITAaugmented","nrTP","B9100462:250304505",-0.129180742554277,-0.0659694968286928,-0.138366396401904,2.75505393354602,-1.19408546116177,-7.55095992916629,-0.0171548636509459,0.132983260109109,0.173395560830669,0.142483777066608
"IITAaugmented","nrTP","B9200061:250304482",-0.234079918108126,-0.0931121571261097,-0.231145593032802,1.93020096439021,-2.53835198333158,0.389075593035401,0.0492218064561902,0.21218135656075,0.0338382206542744,0.170898063224674
